orthographe;classe;freqfilms;nblettres
a;NOM;81.36;1
a;AUX;6350.91;1
a;VER;5498.34;1
a capella;ADV;0.04;9
a cappella;ADV;0.04;10
a contrario;ADV;0;11
a fortiori;ADV;0.04;10
a giorno;ADV;0;8
a jeun;ADV;0.18;6
a l'instar;PRE;0.26;10
a posteriori;ADV;0.01;12
a priori;ADV;0.63;8
a priori;NOM;0.41;8
aa;NOM;0.01;2
ab absurdo;ADV;0;10
ab initio;ADV;0.01;9
ab ovo;ADV;0;6
abaca;NOM;0.01;5
abaissa;VER;0;7
abaissai;VER;0.1;8
abaissaient;VER;0;11
abaissait;VER;0.02;9
abaissant;ADJ;0.03;9
abaissant;VER;0.01;9
abaissante;ADJ;0.01;10
abaisse;NOM;0.02;7
abaisse;VER;1.28;7
abaisse-langue;NOM;0.04;14
abaissement;NOM;0.31;11
abaissent;VER;0.05;9
abaisser;VER;1.09;8
abaissera;VER;0.19;9
abaisserai;VER;0.1;10
abaisseraient;VER;0.01;13
abaisserais;VER;0.13;11
abaisserait;VER;0.02;11
abaisses;VER;0.16;8
abaissez;VER;0.53;8
abaissons;VER;0.02;9
abaissèrent;VER;0;11
abaissé;VER;0.74;7
abaissé;ADJ;0.03;7
abaissée;VER;0.17;8
abaissée;ADJ;0;8
abaissées;VER;0.01;9
abaissées;ADJ;0.02;9
abaissés;VER;0.3;8
abaissés;ADJ;0.01;8
abalone;NOM;0.01;7
abalones;NOM;0;8
abandon;NOM;4.77;7
abandonna;VER;0.59;9
abandonnai;VER;0.27;10
abandonnaient;VER;0.07;13
abandonnais;VER;0.35;11
abandonnait;VER;1.04;11
abandonnant;VER;1.15;11
abandonnas;VER;0;10
abandonne;VER;24.04;9
abandonnent;VER;2.44;11
abandonner;VER;28.37;10
abandonnera;VER;1.52;11
abandonnerai;VER;2.39;12
abandonneraient;VER;0.02;15
abandonnerais;VER;0.93;13
abandonnerait;VER;0.23;13
abandonneras;VER;0.3;12
abandonnerez;VER;0.14;12
abandonneriez;VER;0.23;13
abandonnerions;VER;0.01;14
